category,category_code,primary_position,total_games,bats,throws,H,HR,batting_avg,runs_per_ab,2b_avg,3b_avg,hr_avg,rbi_avg,bb_avg,so_avg,ibb_avg,hbp_avg
fielder primary_position_rf total_games_3298 bats_r throws_r hits_3771 hr_755 batting_avg_305 runs_per_ab_176 2b_avg_50 3b_avg_8 hr_avg_61 rbi_avg_186 bb_avg_113 so_avg_112 ibb_avg_24 hbp_avg_3
fielder primary_position_1b total_games_437 bats_r throws_r hits_216 hr_13 batting_avg_229 runs_per_ab_108 2b_avg_44 3b_avg_6 hr_avg_14 rbi_avg_100 bb_avg_91 so_avg_154 ibb_avg_3 hbp_avg_0
fielder primary_position_1b total_games_15 bats_l throws_l hits_2 hr_0 batting_avg_95 runs_per_ab_48 2b_avg_0 3b_avg_0 hr_avg_0 rbi_avg_0 bb_avg_190 so_avg_238 ibb_avg_0 hbp_avg_0
fielder primary_position_ss total_games_693 bats_r throws_r hits_772 hr_11 batting_avg_254 runs_per_ab_117 2b_avg_33 3b_avg_14 hr_avg_4 rbi_avg_106 bb_avg_95 so_avg_93 ibb_avg_0 hbp_avg_11
fielder primary_position_c total_games_83 bats_r throws_r hits_107 hr_1 batting_avg_209 runs_per_ab_94 2b_avg_41 3b_avg_12 hr_avg_2 rbi_avg_96 bb_avg_37 so_avg_146 ibb_avg_0 hbp_avg_16
fielder primary_position_cf total_games_233 bats_r throws_l hits_157 hr_18 batting_avg_263 runs_per_ab_138 2b_avg_55 3b_avg_3 hr_avg_30 rbi_avg_139 bb_avg_64 so_avg_153 ibb_avg_3 hbp_avg_5
fielder primary_position_ss total_games_702 bats_r throws_r hits_523 hr_62 batting_avg_256 runs_per_ab_134 2b_avg_53 3b_avg_11 hr_avg_30 rbi_avg_118 bb_avg_65 so_avg_279 ibb_avg_5 hbp_avg_8
fielder primary_position_cf total_games_22 bats_l throws_r hits_13 hr_0 batting_avg_186 runs_per_ab_29 2b_avg_29 3b_avg_14 hr_avg_0 rbi_avg_86 bb_avg_86 so_avg_286 ibb_avg_0 hbp_avg_0
fielder primary_position_cf total_games_180 bats_r throws_r hits_86 hr_9 batting_avg_223 runs_per_ab_168 2b_avg_52 3b_avg_5 hr_avg_23 rbi_avg_88 bb_avg_54 so_avg_319 ibb_avg_5 hbp_avg_18
fielder primary_position_2b total_games_232 bats_r throws_r hits_212 hr_8 batting_avg_244 runs_per_ab_112 2b_avg_41 3b_avg_6 hr_avg_9 rbi_avg_91 bb_avg_69 so_avg_107 ibb_avg_1 hbp_avg_8
fielder primary_position_lf total_games_63 bats_r throws_r hits_45 hr_5 batting_avg_251 runs_per_ab_140 2b_avg_39 3b_avg_17 hr_avg_28 rbi_avg_145 bb_avg_140 so_avg_246 ibb_avg_0 hbp_avg_0
